Id,Title,Episodes,Year,Channel,Company,Technique,IMDb,Users
291,Centaurworld,18.0,2021,Netflix,Netflix Animation,Traditional,7.7,80%
292,Central Park,39.0,2020-2022,Apple TV+,Wilo Productions,Flash,6.9,59%
293,Centurions,65.0,1986,Syndication,Ruby-Spears Enterprises,Traditional,7.6,96%
294,Ceasar and Chuy,26.0,2007,LATV,Overman Productions,Flash,4.6,54%
295,ChalkZone,40.0,2002-2008,Nickelodeon,Frederator Studios,Traditional,6.5,93%
296,Challenge of the GoBots,65.0,1984-1985,Syndication,Hanna-Barbera,Traditional,6.3,87%
297,Challenge of the Superfriends,16.0,1978,ABC,Hanna-Barbera,Traditional,7.2,68%
298,Channel Umptee-3,13.0,1997-1998,Kids' WB,Adelaide Productions,Traditional,6.8,54%
299,The Charlie Brown and Snoopy Show,18.0,1983-1985,CBS,Bill Melendez Productions,Traditional,7.4,95%
301,Chibiverse,4.0,2022-present,Disney,Disney Television Animation,Traditional,6.4,50%
302,The Chica Show,51.0,2012-2015,Sprout,Sprout Originals,Flash/Live-Action,6.4,64%
303,Chicago Party Aunt,16.0,2021-present,Netflix,"Titmouse, Inc.",Flash,5.6,71%
304,The Chicken Squad,29.0,2021-2022,Disney,Wild Canary Animation,CGI,5.8,72%
305,"China, IL",30.0,2011-2015,Adult Swim,Williams Street,Flash,7.1,75%
306,Chip 'n Dale: Rescue Rangers,65.0,1989-1990,Syndication,Walt Disney Television Animation,Traditional,7.0,75%
307,Chowder,49.0,2007-2010,Cartoon Network,Cartoon Network Studios,Traditional,7.4,93%
308,Chozen,10.0,2014,Fox,Floyd County Productions,Flash,6.5,75%
309,The Chuck Jones Show,6.0,2001-2002,Cartoon Network,Warner Bros. Cartoons,Traditional,7.4,68%
311,Clarence,130.0,2014-2018,Cartoon Network,Cartoon Network Studios,Traditional,6.8,86%
312,Class of 3000,27.0,2006-2008,Cartoon Network,Cartoon Network Studios,Traditional,6.5,91%
313,Classical Baby,6.0,2005,HBO,MaGiK World Animation,Flash/Traditional/CGI,8.8,82%
314,Cleopatra in Space,24.0,2020-2022,HuluPeacock,DreamWorks Animation Television,Flash,6.6,73%
315,Clerks: The Animated Series,6.0,2000-2002,ABC,View Askew Productions,Traditional,7.4,91%
316,The Cleveland Show,89.0,2009-2013,Fox,Fuzzy Door Productions,Traditional,5.6,79%
317,Close Enough,24.0,2020-2022,HBO,Cartoon Network Studios,Traditional,7.8,82%
318,Clue Club,16.0,1976,CBS,Hanna-Barbera,Traditional,6.8,86%
319,Clutch Cargo,52.0,1959-1960,Syndication,Cambria Productions,Traditional,5.5,65%
320,Code Monkeys,26.0,2007-2008,G4,Monkey Wrangler Productions,Flash,7.2,92%
321,Codename: Kids Next Door,78.0,2002-2008,Cartoon Network,Curious Pictures,Traditional,7.2,94%
322,Colonel Bleep,100.0,1957-1960,Syndication,Richard M. Ullcan Inc.,Traditional,6.5,96%
323,The Comic Strip,65.0,1987,Syndication,Rankin/Bass Animated Entertainment,Traditional,7.8,84%
324,Commander McBragg,48.0,1964-1966,CBS,Total Television,Traditional,3.1,34%
325,The Completely Mental Misadventures of Ed Grimley,13.0,1988,NBC,Hanna-Barbera,Traditional,7.5,83%
326,Conan and the Young Warriors,13.0,1994,CBS,Sunbow Entertainment,Traditional,7.0,85%
327,Constantine: City of Demons,2.0,2018-2019,CW Seed,Warner Bros. AnimationDC Entertainment,Traditional,7.5,86%
328,Costume Quest,14.0,2019,Amazon Prime Video,Amazon Studios,Flash,7.1,45%
329,Courage the Cowardly Dog,52.0,1999-2002,Cartoon Network,Stretch Films,Traditional,8.3,96%
330,Courageous Cat and Minute Mouse,130.0,1960-1962,Syndication,Trans-Artists Productions,Traditional,7.4,82%
331,Cow and Chicken,52.0,1997-1999,Cartoon Network,Hanna-Barbera,Traditional,6.5,89%
332,Craig of the Creek,170.0,2018-present,Cartoon Network,Cartoon Network Studios,Traditional,7.5,91%
333,The Crayon Box,26.0,1997-1998,Syndication,Sunbow Entertainment,Traditional/Live-Action,2.1,34%
334,The Critic,23.0,1994-1995,ABC,Gracie Films,Traditional,7.8,85%
335,Cro,21.0,1993-1994,ABC,Film Roman,Traditional,8.4,90%
336,The Croods: Family Tree,39.0,2021-2023,HuluPeacock,DreamWorks Animation Television,CGI,6.8,67%
337,Crossing Swords,20.0,2020-2021,Hulu,Stoopid Buddy Stoodios,Stop-Motion,6.7,70%
338,Curious George (2006),198.0,2006-2022,PBS KidsPeacock,Universal Animation Studios,Traditional,6.5,73%
339,Curses!,10.0,2023-present,Apple TV+,DreamWorks Animation Television,CGI,6.8,67%
340,The Cyanide & Happiness Show,41.0,2014-2019,YouTubeSeesoVRV,LowBrow Studios,Flash,7.9,96%
341,C Bear and Jamal,13.0,1996-1997,Fox,Film Roman,Traditional,5.8,87%
342,Cadillacs and Dinosaurs,13.0,1993-1994,CBS,Nelvana,Traditional,7.0,95%
343,Camp Candy,39.0,1989-1992,NBC,DIC Entertainment,Traditional,6.8,93%
344,Captain Harlock and the Queen of a Thousand Years,65.0,1986,Syndication,Harmony Gold USA,Traditional,7.7,96%
345,Captain Laserhawk: A Blood Dragon Remix,10.0,2023,Netflix,Ubisoft Film & Television,Traditional,7.1,73%
346,Captain N: The Game Master,34.0,1989-1991,NBC,DIC Entertainment,Traditional,6.3,79%
347,Care Bears,11.0,1985,Syndication,DIC Entertainment,Traditional,7.2,90%
348,The Care Bears Family,49.0,1986-1988,ABCSyndication,DIC Entertainment,Traditional,6.0,87%
349,Care Bears: Unlock the Magic,49.0,2019-2020,Boomerang,Cloudco Entertainment,Flash,7.6,74%
350,Carmen Sandiego,19.0,2019-2021,Netflix,Top Draw Animation,Flash,7.9,90%
351,Carol & The End of The World,10.0,2023,Netflix,Bardel Entertainment,Flash,7.2,80%
352,Cartoon Sushi,15.0,1997-1998,MTV,MTV Animation,Traditional/Stop-Motion/CGI/Flash,7.3,82%
353,Casper's Scare School,52.0,2009-2012,Cartoon Network,The Harvey Entertainment Company,CGI,4.5,87%
354,The Cat in the Hat Knows a Lot About That!,80.0,2010-2018,PBS Kids,Random House,Flash,6.4,83%
355,CBS Storybreak,26.0,1985-1989,CBS,CBS Productions,Traditional,7.8,96%
356,Celebrity Deathmatch,93.0,"1998-2002, 2006-2007","MTV, MTV2",Fogelmania ProductionsMTV Animation,Stop-Motion,6.9,95%
357,Chaotic,79.0,2006-2010,Fox,Bardel Entertainment,Traditional,6.6,78%
358,Charlie's Colorforms City,39.0,2019-2022,Netflix,9 Story USA,CGI,6.6,58%
359,Chico Bon Bon: Monkey with a Tool Belt,38.0,2020,Netflix,Silvergate Media,CGI,6.3,53%
360,Chip 'n' Dale: Park Life,24.0,2021-present,Disney,Disney Television Animation,Flash,6.0,62%
361,Chloe's Closet,52.0,2009-2014,Sprout,MoonScoop Entertainment,Flash,7.4,80%
362,City of Ghosts,6.0,2021,Netflix,Netflix Animation,CGI,7.4,58%
363,Click and Clack's As the Wrench Turns,10.0,2008,PBS,Atomic Cartoons,Flash,5.4,68%
364,Clifford the Big Red Dog (2000),66.0,2000-2003,PBS Kids,Scholastic Corporation,Traditional,6.5,87%
365,Clifford the Big Red Dog (2019),39.0,2019-2021,Amazon Prime Video,Scholastic Corporation,Flash,5.6,59%
366,Clifford's Puppy Days,78.0,2003-2006,PBS Kids,Scholastic Entertainment,Traditional,6.6,91%
367,Clone High,23.0,"2002-2003, 2023-present",HBO,MTV AnimationShadowMachine,Traditional (season 1)/Flash (season 2),6.4,91%
368,Cloudy with a Chance of Meatballs,52.0,2017-2018,Cartoon Network,Sony Pictures Animation,Flash,6.9,77%
369,Cocomelon,80.0,2020-present,YouTube,Treasure Studio,CGI,4.1,67%
370,Coconut Fred's Fruit Salad Island,13.0,2005-2006,Kids' WB,Warner Bros. Animation,Flash,2.6,34%
371,Conan the Adventurer,65.0,1992-1993,Syndication,Sunbow Entertainment,Traditional,7.3,91%
372,Cool McCool,20.0,1966-1967,NBC,King Features Entertainment,Traditional,7.0,88%
373,COPS,65.0,1988,Syndication,DIC Entertainment,Traditional,6.9,83%
374,Cosmic Quantum Ray,26.0,2007-2008,Animalia HDThe Hub,MoonScoop Entertainment,CGI,6.0,68%
375,The Cramp Twins,26.0,2004,Cartoon Network,Sunbow Entertainment,Traditional,6.1,86%
376,Crashbox,52.0,1999-2000,HBO,Cuppa Coffee Animation,Stop-Motion,8.6,91%
377,Creative Galaxy,36.0,2013-2019,Amazon Prime Video,Amazon Studios9 Story USA,CGI,5.2,60%
378,The Creature Cases,20.0,2022-present,Netflix,Silvergate Media,CGI,7.6,74%
379,Creepy Crawlers,23.0,1994-1996,Syndication,Sunbow Entertainment,Traditional,6.6,92%
380,Crusader Rabbit,455.0,1950-1959,Syndication,Television Arts Productions,Traditional,7.1,92%
381,The Cuphead Show!,36.0,2022,Netflix,Netflix Animation,Traditional,7.4,90%
383,Cyberchase,140.0,2002-present,"PBS Kids (2002-2004, 2013-present)PBS Kids Go! (2004-2013)",WNET Thirteen,Traditional/Digital ink-and-paint (seasons 1-5)/Flash/Adobe Flash (season 6-present),6.9,83%
385,Dallas & Robo,8.0,2018,YouTube Premium,ShadowMachine,Flash,6.5,50%
386,Dan Vs.,53.0,2011-2013,The Hub,Film Roman,Flash,7.7,80%
387,Danger & Eggs,13.0,2017,Amazon Prime Video,PUNY,Traditional,5.1,36%
388,Danger Rangers,16.0,2005-2006,PBS Kids,Educational Adventures,Traditional,7.6,88%
389,Danny Phantom,53.0,2004-2007,Nickelodeon,Billionfold Inc.Nickelodeon Animation Studio,Traditional,7.2,93%
390,Daria,65.0,1997-2002,MTV,MTV Animation,Traditional,8.1,94%
391,Darkstalkers,13.0,1995,Syndication,Graz Entertainment,Traditional,4.2,52%
392,Darkwing Duck,91.0,1991-1992,ABC,Walt Disney Television Animation,Traditional,7.6,93%
393,Dastardly and Muttley in Their Flying Machines,17.0,1969-1970,CBS,Hanna-Barbera,Traditional,7.1,91%
394,Dave the Barbarian,21.0,2004-2005,Disney,Walt Disney Television Animation,Traditional,7.0,95%
395,Davey and Goliath,73.0,1961-1973,Syndication,Chokey Productions,Stop-Motion,7.5,92%
396,Dawn of the Croods,52.0,2015-2017,Netflix,DreamWorks Animation Television,Traditional,5.8,60%
397,DC Nation Shorts,162.0,2011-2014,Cartoon Network,Warner Bros. AnimationDC Entertainment,Flash/Traditional,7.2,50%
398,DC Super Hero Girls (2015),112.0,2015-2018,Cartoon Network,Warner Bros. AnimationDC Entertainment,Traditional,7.1,97%
399,DC Super Hero Girls (2019),78.0,2019-2021,Cartoon Network,Warner Bros. AnimationDC Entertainment,Flash,7.3,81%
400,El Deafo,3.0,2022,Amazon Prime Video,Lighthouse Studios,Flash,7.7,73%
401,Deathstroke: Knights & Dragons,2.0,2020,CW Seed,Warner Bros. AnimationDC Entertainment,Traditional,6.3,58%
403,Deepa & Anoop,18.0,2022-present,Netflix,Mattel Television,CGI,8.1,59%
404,Defenders of the Earth,65.0,1986-1987,Syndication,Marvel Productions,Traditional,7.0,87%
405,The Deputy Dawg Show,104.0,1960-1964,Syndication,Terrytoons,Traditional,7.0,68%
406,Detention,13.0,1999-2000,Kids' WB,Warner Bros. Animation,Traditional,7.6,69%
407,Devil May Care,7.0,2021,Syfy,Psyop,Flash,6.2,54%
408,Devlin,16.0,1974,ABC,Hanna-Barbera,Traditional,7.2,74%
409,Dew Drop Diaries,28.0,2023-present,Netflix,DreamWorks Animation Television,CGI,8.6,49%
410,Dexter's Laboratory,78.0,1996-2003,Cartoon Network,Cartoon Network Studios,Traditional,7.9,93%
411,The Dick & Paula Celebrity Special,6.0,1999-2000,Fox,Soup2Nuts,Flash,8.1,82%
412,Dick Figures,54.0,2010-2015,YouTube,6 Point Harness,Flash,7.8,92%
413,The Dick Tracy Show,130.0,1961-1962,Syndication,United Productions of America,Traditional,5.6,89%
414,Dicktown,20.0,2020-2022,Fox,Floyd County Productions,Flash,6.8,67%
415,Digman!,8.0,2023-present,Comedy Central,"Titmouse, Inc.",Flash,6.5,76%
416,Dilbert,30.0,1999-2000,UPN,Adelaide ProductionsIdbox,Traditional,7.3,89%
417,"Dink, the Little Dinosaur",21.0,1989-1990,CBS,Ruby-Spears Enterprises,Traditional,7.1,90%
418,Dino Pop!,36.0,2023-present,Peacock,Mobius.LabKids,CGI,7.6,87%
419,DinoSquad,26.0,2007-2008,CBS,DIC Entertainment,Traditional,5.2,87%
420,Dinotrux,78.0,2015-2018,Netflix,DreamWorks Animation Television,CGI,6.8,70%
421,Dino-Riders,14.0,1988,Syndication,Marvel Productions,Traditional,7.1,95%
422,Disenchantment,50.0,2018-2023,Netflix,The ULULU Company,Traditional,7.2,90%
423,DJ & the Fro,12.0,2009,MTV,MTV Animation,Flash,5.5,57%
424,Doc McStuffins,244.0,2012-2020,Disney,Brown Bag Films,CGI,6.5,82%
425,Doctor Dolittle,17.0,1970-1971,NBC,DePatie-Freleng Enterprises,Traditional,8.0,93%
426,Donald Duck Presents,71.0,1983-1992,Disney,Walt Disney Productions,Traditional,7.9,92%
427,Donald's Quack Attack,94.0,1992-1997,Disney,Walt Disney Productions,Traditional,7.1,93%
428,"Do, Re & Mi",26.0,2021-present,Amazon Prime Video,Michael Made MeGaumont International Television,Flash,7.4,52%
429,Dora and Friends: Into the City!,38.0,2014-2017,Nickelodeon,Nickelodeon Animation Studio,Flash,3.8,34%
430,Dora the Explorer,177.0,2000-2019,Nickelodeon,Nickelodeon Animation Studio,Traditional,4.3,69%
431,Dorothy and the Wizard of Oz,60.0,2017-2020,Boomerang,Warner Bros. Animation,Traditional,6.0,63%
432,Doug Unplugs,26.0,2020-2022,Apple TV+,DreamWorks Animation Television,CGI,7.2,41%
433,Downtown,13.0,1999,MTV,MTV Animation,Traditional,8.3,98%
435,Dragon's Lair,13.0,1984,ABC,Ruby-Spears Enterprises,Traditional,6.6,68%
436,Drawn Together,36.0,2004-2007,Comedy Central,Comedy PartnersDouble Hemm,Traditional,7.1,92%
437,Dream Corp LLC,28.0,2016-2020,Adult Swim,Williams Street,Flash/Live-Action,7.2,78%
438,DreamWorks Dragons,118.0,2012-2018,Netflix,DreamWorks Animation Television,CGI,7.9,90%
439,DreamWorks Dragons: Rescue Riders,53.0,2019-2022,Netflix,DreamWorks Animation Television,CGI,6.0,52%
440,DreamWorks Dragons: The Nine Realms,52.0,2021-2023,HuluPeacock,DreamWorks Animation Television,CGI,5.3,58%
441,The Drinky Crow Show,10.0,2008-2009,Adult Swim,Mirari FilmsWilliams Street,CGI,6.5,90%
442,"Droopy, Master Detective",39.0,1993,Fox,Hanna-Barbera,Traditional,6.3,84%
443,"Dr. Katz, Professional Therapist",81.0,1995-2002,Comedy Central,Tom Snyder Productions,Traditional,7.6,93%
444,Duck Dodgers,39.0,2003-2005,Cartoon Network,Warner Bros. Animation,Traditional,7.7,95%
445,Duck & Goose,17.0,2022-present,Apple TV+,"Titmouse, Inc.",Traditional,7.8,61%
446,Duckman,70.0,1994-1997,USA Network,Klasky Csupo,Traditional,7.8,94%
447,DuckTales (1987),100.0,1987-1990,Syndication,Walt Disney Television Animation,Traditional,8.0,94%
448,DuckTales (2017),69.0,2017-2021,Disney,Disney Television Animation,Traditional,8.3,92%
449,Dug Days,5.0,2021,Disney,Pixar Animation Studios,CGI,8.0,82%
450,The Dukes,20.0,1983,CBS,Hanna-Barbera,Traditional,5.5,91%
451,Dumb and Dumber,13.0,1995-1996,ABC,Hanna-Barbera,Traditional,7.3,85%
452,Dungeons & Dragons,27.0,1983-1985,CBS,Marvel Productions,Traditional,8.0,95%
453,"Dynomutt, Dog Wonder",20.0,1976-1977,ABC,Hanna-Barbera,Traditional,6.6,93%
454,Da Boom Crew,4.0,2004,Kids' WB,Jambalaya Studios,Traditional,2.5,55%
455,Da Jammies,13.0,2015,Netflix,Toon Farm Animation LLC.,CGI,7.1,82%
456,Daniel Spellbound,20.0,2022-present,Netflix,Netflix Animation,CGI,6.9,55%
457,Daniel Tiger's Neighborhood,134.0,2012-present,PBS Kids,Fred Rogers Productions,Flash,7.5,73%
458,Dead End: Paranormal Park,20.0,2022,Netflix,Netflix Animation,Traditional,7.1,82%
459,Dee & Friends in Oz,16.0,2024-present,Netflix,Brown Bag Films,CGI,8.5,78%
460,Dennis the Menace,78.0,1986-1988,Syndication,DIC Entertainment,Traditional,6.2,91%
461,"Denver, the Last Dinosaur",50.0,1988,Syndication,World Events Productions,Traditional,6.4,89%
462,Descendants: Wicked World,33.0,2015-2017,Disney,Disney Television Animation,CGI,6.4,74%
463,Diabolik,40.0,1999-2001,Fox,Sunbow Entertainment,Traditional,5.9,67%
464,Dinky Dog,16.0,1980,CBS,Hanna-Barbera,Traditional,6.1,83%
465,Dino Babies,26.0,1994-1996,Fox,Fred Wolf Films,Traditional,7.2,75%
466,Dinosaur Train,100.0,2009-2020,PBS Kids,The Jim Henson Company,CGI,8.5,86%
467,Dinozaurs,26.0,2000,Fox,Saban Entertainment,Traditional,6.8,94%
468,Dog City,31.0,1992-1994,Fox,The Jim Henson Company,Traditional/Live-Action,7.2,80%
469,Dogs in Space,20.0,2021-2022,Netflix,Netflix Animation,Traditional,7.2,78%
471,Doomlands,10.0,2022-present,The Roku Channel,Look Mom! Productions,Flash,6.6,70%
472,The Doozers,72.0,2013-2018,Hulu,The Jim Henson Company,CGI,7.4,69%
473,Dot.,78.0,2016-2018,Universal Kids,The Jim Henson Company,Flash,7.7,63%
474,Dota: Dragon's Blood,24.0,2021-2022,Netflix,Kaiju Boulevard,Traditional,7.7,87%
475,Double Dragon,26.0,1993-1994,Syndication,DIC Entertainment,Traditional,6.3,80%
476,Doug,117.0,1991-1999,"Nickelodeon (Seasons 1-4)
ABC (Seasons 5-7)",Jumbo PicturesGames Animation (seasons 1-4)Walt Disney Television Animation (seasons 5-7),Traditional,7.4,89%
477,Dragon,78.0,2004-2007,Qubo,Scholastic Corporation,Stop-Motion,8.3,90%
478,Dragon Flyz,26.0,1996-1997,Syndication,Abrams/Gentile Entertainment,Traditional,7.0,94%
479,The Dragon Prince,36.0,2018-present,Netflix,MWM Studios,CGI,8.3,88%
480,Dragon Tales,155.0,1999-2005,PBS Kids,Sesame Workshop,Traditional,8.4,95%
481,Drak Pack,16.0,1980,CBS,Hanna-Barbera,Traditional,6.7,93%
482,Duncanville,36.0,2020-2022,Fox,Paper Kite Productions,Traditional,6.3,71%
483,Eagle Riders,26.0,1996-1997,Syndication,Saban Entertainment,Traditional,7.9,88%
484,Earthworm Jim,23.0,1995-1996,Kids' WB,Universal Cartoon Studios,Traditional,7.2,92%
485,"Ed, Edd n Eddy",69.0,1999-2009,Cartoon Network,a.k.a. Cartoon,Traditional,7.5,93%
486,Edgar & Ellen,26.0,2007-2008,Nicktoons Network,Star Farm Productions,Flash,5.8,96%
487,Eek! The Cat,75.0,1992-1997,Fox,Film Roman,Traditional,7.2,93%
488,Elena of Avalor,77.0,2016-2020,Disney,Disney Television Animation,CGI,6.5,84%
489,Elinor Wonders Why,40.0,2020-2022,PBS Kids,Pipeline Studios,Flash,8.2,78%
490,Ellen's Acres,26.0,2007,Cartoon Network,Animation Collective,Flash,6.2,87%
491,Elliott from Earth,20.0,2021,Cartoon Network,Cartoon Network Studios Europe,Flash,7.5,78%
492,Eloise: The Animated Series,13.0,2006,Starz Kids & Family,Film Roman,Traditional,6.5,73%
493,Emergency +4,23.0,1973-1974,NBC,Fred Calvert Productions,Traditional,7.2,92%
494,The Emperor's New School,52.0,2006-2008,Disney,Walt Disney Television Animation,Traditional,6.6,90%
495,The Epic Tales of Captain Underpants,45.0,2018-2020,Netflix,DreamWorks Animation TelevisionScholastic Corporation,Flash,6.7,71%
496,Epithet Erased,7.0,2019,VRV,Powerhouse Animation Studios,Flash,5.9,98%
497,Esme & Roy,52.0,2018-2021,HBO,Sesame Workshop,Traditional,7.6,70%
498,Eureka!,30.0,2022-present,Disney,Brown Bag Films,CGI,7.9,84%
500,Evil Con Carne,13.0,2001-2004,Cartoon Network,Cartoon Network Studios,Traditional,6.9,86%
501,Ewoks,26.0,1985-1986,ABC,Lucasfilm,Traditional,6.0,59%
502,Exosquad,52.0,1993-1994,Syndication,Universal Cartoon Studios,Traditional,8.4,90%
504,Extreme Dinosaurs,52.0,1997,Syndication,DIC Entertainment,Traditional,6.4,87%
505,Extreme Ghostbusters,40.0,1997,Syndication,Adelaide Productions,Traditional,6.9,84%
507,F Is for Family,44.0,2015-2021,Netflix,Gaumont International Television,Flash,8.0,92%
508,Fabulous Funnies,13.0,1978-1979,NBC,Filmation,Traditional,7.6,87%
509,Face's Music Party,15.0,2022-present,Nickelodeon,Nickelodeon Animation Studio,Traditional,8.9,70%
510,Fairfax,16.0,2021-2022,Amazon Prime Video,Amazon Studios,Flash,5.4,62%
511,The Fairly OddParents,172.0,2001-2017,Nickelodeon,Frederator StudiosNickelodeon Animation Studio,Traditional (seasons 1-9)/Flash (season 10),7.2,91%
512,Fairview,8.0,2022,Comedy Central,"Late Night Cartoons, Inc.",Flash,1.5,9%
513,Family Dog,10.0,1993,CBS,Amblin Television,Traditional,6.9,87%
514,Family Guy,409.0,1999-present,Fox,Fuzzy Door Productions,Traditional,8.1,89%
515,Famous Classic Tales,31.0,1970-1984,CBS,Ruby-Spears Enterprises,Traditional,4.6,48%
516,Fanboy & Chum Chum,52.0,2009-2014,Nickelodeon,Frederator StudiosNickelodeon Animation Studio,CGI,3.3,77%
517,Fancy Nancy,63.0,2018-2022,Disney,Disney Television Animation,CGI,5.4,77%
518,Fangface,16.0,1978-1980,ABC,Ruby-Spears Enterprises,Traditional,6.1,90%
519,Fantastic Four (1967),20.0,1967-1968,ABC,Hanna-Barbera,Traditional,6.6,75%
520,Fantastic Four (1994),26.0,1994-1996,Syndication,Marvel Entertainment,Traditional,3.8,56%
521,Fantastic Four: World's Greatest Heroes,26.0,2006-2010,Cartoon Network,Marvel Animation,Traditional,6.7,79%
522,Fantastic Max,26.0,1988-1990,Syndication,Hanna-Barbera,Traditional,6.9,93%
523,Fantastic Voyage,17.0,1968-1969,ABC,Filmation Associates,Traditional,6.8,86%
524,The Fantastic Voyages of Sinbad the Sailor,26.0,1998,Cartoon Network,Fred Wolf Films,Traditional,7.2,93%
525,Fast & Furious Spy Racers,52.0,2019-2021,Netflix,DreamWorks Animation TelevisionUniversal Pictures,CGI,5.9,74%
526,Fat Albert and the Cosby Kids,110.0,1972-1985,CBS,Filmation,Traditional,6.7,89%
527,Father of the Pride,13.0,2004-2005,NBC,DreamWorks Animation Television,CGI,6.7,70%
528,Fatherhood,26.0,2004-2006,Nick at Nite,"Smiley, Inc.",Flash,6.6,76%
529,Farzar,10.0,2022,Netflix,Bento Box Entertainment,Traditional,5.6,63%
530,Feeling Good with JoJo,20.0,2006-2008,Disney,Cartoon Pizza,Stop-motion,4.2,44%
531,Festival of Family Classics,20.0,1972-1973,Syndication,Rankin/Bass Productions,Traditional,7.6,93%
532,Fetch! with Ruff Ruffman,100.0,2006-2010,PBS Kids Go!,WGBH,Flash/Live-action,7.3,91%
533,Felix the Cat,260.0,1958-1960,Syndication,Felix the Cat Productions,Traditional,6.6,94%
534,Fievel's American Tails,13.0,1992,CBS,Amblimation,Traditional,6.2,83%
535,Fillmore!,26.0,2002-2004,Disney,Walt Disney Television Animation,Traditional,7.6,95%
536,Final Space,36.0,2018-2021,TBSAdult Swim,ShadowMachine,Traditional,8.2,92%
537,Firebuds,24.0,2022-present,Disney,Disney Television Animation,CGI,5.3,56%
538,Fired on Mars,8.0,2023-present,HBO,Pat & Mike Productions,Traditional,6.9,82%
539,Firehouse Tales,26.0,2005-2006,Cartoon Network,Warner Bros. Animation,Traditional,7.0,82%
540,Fish Hooks,110.0,2010-2014,Disney,Disney Television Animation,Traditional,4.9,84%
541,Fish Police,3.0,1992,CBS,Hanna-Barbera,Traditional,7.9,88%
542,The Flintstone Comedy Hour,16.0,1972-1974,CBS,Hanna-Barbera,Traditional,6.5,89%
543,The Flintstone Comedy Show,18.0,1980-1981,NBC,Hanna-Barbera,Traditional,6.6,86%
544,The Flintstone Funnies,45.0,1982-1984,NBC,Hanna-Barbera,Traditional,6.6,87%
545,The Flintstone Kids,36.0,1986-1987,ABC,Hanna-Barbera,Traditional,5.8,86%
546,The Flintstones,166.0,1960-1966,ABC,Hanna-Barbera,Traditional,7.5,90%
547,The Fonz and the Happy Days Gang,24.0,1980-1981,ABC,Hanna-Barbera,Traditional,5.4,83%
548,Foofur,26.0,1986-1988,NBC,Hanna-Barbera,Traditional,5.8,88%
549,Force Five,130.0,1980-1981,Syndication,Jim Terry Productions,Traditional,5.0,94%
550,Forky Asks a Question,10.0,2019-2020,Disney,Pixar Animation Studios,CGI,6.6,84%
551,Foster's Home for Imaginary Friends,79.0,2004-2009,Cartoon Network,Cartoon Network Studios,Flash,7.6,90%
552,Four Eyes!,24.0,2006,Nicktoons Network,PorchLight Entertainment,Traditional,7.4,88%
555,Fraggle Rock: The Animated Series,13.0,1987,NBC,Jim Henson Productions,Traditional,7.2,85%
556,Fraidy Cat,12.0,1975,ABC,Filmation,Traditional,5.8,93%
557,Frankenstein Jr. and The Impossibles,18.0,1966-1967,CBS,Hanna-Barbera,Traditional,6.6,86%
558,Frankenguy and the Professor,8.0,1997-2002,Disney,Colossal Pictures,Traditional,4.6,48%
559,Frances,4.0,2008,PBS Kids Sprout,"The Jim Henson Company
HIT Entertainment",CGI,3.1,54%
560,The Freak Brothers,12.0,2021-present,Tubi,Lionsgate Television,Flash,6.0,59%
561,Freak Show,8.0,2006,Comedy Central,Radical Axis,Flash,5.0,73%
562,Freakazoid!,24.0,1995-1996,Kids' WB,Warner Bros. Animation,Traditional,7.5,90%
563,Fred and Barney Meet the Shmoo,17.0,1979-1980,NBC,Hanna-Barbera,Traditional,6.3,79%
564,Fred and Barney Meet the Thing,13.0,1979,NBC,Hanna-Barbera,Traditional,5.6,82%
565,Fred Flintstone and Friends,95.0,1977-1978,Syndication,Hanna-Barbera,Traditional,7.2,91%
566,Free for All,7.0,2003,Showtime,Film Roman,Traditional,6.4,85%
567,Free Willy,21.0,1994-1995,ABC,Warner Bros. Television,Traditional,6.0,74%
568,The Freedom Force,5.0,1978,ABC,Filmation,Traditional,8.0,88%
569,Fresh Beat Band of Spies,20.0,2015-2016,Nickelodeon,Nickelodeon Animation Studio,Flash,6.9,68%
570,Friday: The Animated Series,7.0,2006,MTV2,MTV Animation,Flash,6.0,92%
571,Fright Krewe,10.0,2023-present,HuluPeacock,DreamWorks Animation Television,Traditional,7.4,92%
572,Frisky Dingo,25.0,2006-2008,Adult Swim,Williams Street,Flash,8.2,80%
573,Frog in a Suit,3.0,2011,YouTube,Joe Murray Productions,Flash,7.8,85%
574,The Fungies!,80.0,2020-2021,MaxCartoon Network,Cartoon Network Studios,Traditional,6.7,68%
575,Funky Cops,39.0,2002-2004,4Kids TV,MoonScoop Group,Traditional,6.8,96%
576,The Funky Phantom,17.0,1971-1972,ABC,Hanna-Barbera,Traditional,6.4,83%
577,The Funny Company,155.0,1963,Syndication,Ken Snyder Productions,Traditional,7.9,93%
578,The Further Adventures of SuperTed,13.0,1989,Syndication,Hanna-Barbera,Traditional,7.1,68%
579,Futurama,150.0,1999-present,Fox,The Curiosity Company,Traditional,8.5,93%
580,The Future is Wild,26.0,2007-2008,Discovery Kids,Nelvana,CGI,7.6,92%
581,Future-Worm!,21.0,2016-2018,Disney,Disney Television Animation,Flash,5.3,46%
582,G-Force: Guardians of Space,85.0,1983-1986,TBS,King Features Syndicate,Traditional,7.4,93%
583,G.I. Joe: A Real American Hero (1983),95.0,1983-1986,Syndication,Sunbow Entertainment,Traditional,8.0,86%
